STORMNET_ID,VDOT Length,Easement Length,Total Conveyance Length,County Area,County Area Impervious
STMN0121001071,160.43,1.31,163.22,0,0
STMN0121001456,294.39,0,352.38,0,0
STMN0121001716,266.86,8.64,388.05,0,0
STMN0121001855,181.92,201.29,613.47,31407.83,7488.41
STMN0121001904,792.71,765.73,1578.99,0,0
STMN0121001921,0,164.63,200.99,0,0
STMN0121002015,0,422.54,477.08,0,0
STMN0121002067,1238.17,307.71,1605.25,0,0
STMN0121002163,2055.95,1602.7,4751.27,1328248,219974.45
STMN0121002223,74.93,575.39,773.12,0,0
STMN0121002253,285.31,1044.22,1761.45,0,0
STMN0121055734,460.43,317.37,2263.04,99221.87,5562.18
STMN0121055961,1162.24,2840.62,5030.71,777755.14,142070.33
STMN0121055999,104.19,0,898.14,0,0
STMN0121056031,98.42,298.53,599.91,0,0
STMN0121056039,891.74,500.96,1265.55,0,0
STMN0121060481,283.68,254.64,483,0,0
STMN0121082254,96.87,1466.63,1937.58,0,0
STMN0121507936,56.72,146.2,330.64,0,0
STMN0121508250,273.41,515.49,1091.97,180764.05,2440.2
STMN0121508260,0,150.01,561.3,0,0
STMN0122000676,287.18,1550.2,2280.52,0,0
STMN0122000807,0,0,87.89,190425.79,18828.94
STMN0122001019,161.26,2024.92,2375.97,0,0
STMN0122001020,239.18,2717.98,3462.82,0,0
STMN0122001031,0,0,171.86,0,0
STMN0122001057,0,171.85,378.95,334633.9,0
STMN0122001154,260.07,91.68,318.64,0,0
STMN0122001246,460.08,1395.36,2017.67,0,0
STMN0122001262,11,41.26,45.65,0,0
STMN0122001278,57.64,284.09,397.24,0,0
STMN0122001288,448.05,1188.55,2393.92,0,0
STMN0122001323,139.02,15.47,343.94,0,0
STMN0122001380,14.7,8.62,17.75,0,0
STMN0122001470,0,66.93,77.78,0,0
STMN0122001492,1700.87,61,1731.09,0,0
STMN0122001610,7.3,175.49,251.64,0,0
STMN0122001832,52.33,482.9,741.67,0,0
STMN0122001833,434.54,144.72,593.7,0,0
STMN0122001837,11.85,0,72.4,0,0
STMN0122001867,15.47,73.33,85.19,0,0
STMN0122002212,39.58,66.85,444.89,0,0
STMN0122054752,1904.14,2780.36,5592.06,0,0
STMN0122068991,373.4,200.38,545.48,0,0
STMN0122402007,61.62,372.21,427.73,85231.29,1588.01
STMN0122508243,49.72,603.64,1029.07,0,0
STMN0122508244,47.07,496.8,636.99,0,0
STMN0123002268,59.49,36,87.76,0,0
STMN0123002312,46.42,345.45,467.38,0,0
STMN0123002474,1872.48,414.49,2556.39,0,0
STMN0123002534,0,105.51,105.51,0,0
STMN0123002646,0,0,0,0,0
STMN0123002764,84.27,42.75,112.93,0,0
STMN0123002879,46.46,628.03,677.94,0,0
STMN0123002885,218.08,894.45,1314.68,0,0
STMN0123002888,5.72,38.95,44.52,0,0
STMN0123002890,209.37,181.73,391.34,0,0
STMN0123002902,195.32,586.5,854.25,0,0
STMN0123002944,160.11,820.81,1012.66,0,0
STMN0123003039,79.84,54.32,138.11,0,0
STMN0123003080,48.57,335.54,432.65,0,0
STMN0123003249,1614.61,2095.46,5131.76,0,0
STMN0123003589,351.46,2343.28,3608.2,0,0
STMN0123003666,643.71,327.12,1036.49,0,0
STMN0123003760,0,717.73,950.67,0,0
STMN0123003809,0,86.31,86.31,0,0
STMN0123003880,378,295.6,686.35,0,0
STMN0123003891,6.95,218.97,274.68,0,0
STMN0123003954,242.78,394.04,675.67,0,0
STMN0123004027,276.63,2055.31,2766.41,0,0
STMN0123004109,923.39,552.26,1392.11,0,0
STMN0123056064,855.94,1330.5,3307.02,0,0
STMN0123056142,890.3,682.91,1720.29,0,0
STMN0123086879,189.03,213.93,406.85,0,0
STMN0124002224,55.31,295.5,346.11,0,0
STMN0124002453,52.13,245.59,795.59,322289.31,0
STMN0124002525,172.86,73.25,257.28,0,0
STMN0124002598,198.07,199.94,400.32,17044.28,0
STMN0124002671,92.14,56.43,388.03,0,0
STMN0124002714,68.37,0,95.47,767.7,0
STMN0124002792,67.47,72.19,152.62,2889.33,0
STMN0124003027,60.77,35.51,95.36,0,0
STMN0124003349,957.93,944.98,2262.06,0,0
STMN0124003370,649.06,697.75,1218.18,0,0
STMN0124003412,177.4,86.74,779,0,0
STMN0124003471,121.89,304.75,660.45,0,0
STMN0124003486,53.48,512.93,586.72,0,0
STMN0124003584,136.73,870.84,1039.55,0,0
STMN0124003637,158.35,363.88,765.45,0,0
STMN0124003928,1662.33,1258.26,3311.81,0,0
STMN0124004026,760.73,579.21,1275.02,0,0
STMN0124072315,0,57.63,868.99,0,0
STMN0124087603,520.21,295.06,941.57,0,0
STMN0124509411,6.87,329.22,353.27,0,0
STMN0131000649,0,421.53,421.53,675.58,0
STMN0131000914,136.74,33.34,478.57,0,0
STMN0131001092,0,84.76,1282.83,0,0
STMN0131001174,271.49,281.86,635.4,0,0
STMN0131001213,0,288.16,574.41,0,0
STMN0131001263,7.14,121.07,213.52,0,0
STMN0131001928,1667.8,368.16,1961.85,0,0
STMN0131002200,1087.01,273.16,1355.67,0,0
STMN0132001785,971.08,343.58,1303.54,0,0
STMN0132061976,0,1626.27,1804.71,0,0
STMN0132064181,0,290.49,472.8,0,0
STMN0133002283,141.75,205.61,438.64,0,0
STMN0133003538,1250.05,545.46,1653.55,0,0
STMN0133078074,0,264.67,501.7,0,0
STMN0134003485,0,190.56,190.56,0,0
STMN0134003622,0,467.17,467.35,0,0
STMN0134056060,0,68.67,68.67,0,0
STMN0134056274,0,0,548.04,0,0
STMN0143003605,0,365,365.86,0,0
STMN0152001901,212.11,3123.44,5616.02,0,0
STMN0152513924,150.91,58.18,223.13,0,0
STMN0154061094,69.85,110.23,841.77,1222.85,243.82
STMN0154063580,0,0,441.62,0,0
STMN0154063708,54.82,1396.87,2703.04,172.54,0
STMN0154064472,0,48.74,188.13,0,0
STMN0154066863,115.34,50.67,383.38,2408.88,809.65
STMN0154067790,12.74,3862.78,4027.45,12803.99,1110.23
STMN0154081264,0,489.77,808.91,0,0
STMN0154081443,5071.01,5562.71,19401.88,22493.7,924.82
STMN0154088993,127.3,0,127.3,0,0
STMN0154088997,59.34,1237.97,1521.69,1072.56,110.64
STMN0154407949,690.2,447.25,1745.85,0,0
STMN0154407955,196.29,586.8,1242.53,1164.66,216.13
STMN0154407962,0,136.4,738.14,0,0
STMN0154407972,0,27.29,44.94,0,0
STMN0154408011,0,190.16,190.16,0,0
STMN0154408064,490.96,436.33,1774.75,3837.49,1286.8
STMN0154408067,0,68.49,231.75,0,0
STMN0154408070,0,1632.81,2325.95,0,0
STMN0154408073,0,150.38,1553.1,0,0
STMN0154408103,972.81,11721.04,23509.91,423819.19,14464.24
STMN0154514735,0,9.21,436.99,398.17,0
STMN0154514740,0,253.66,294.46,310.04,0
STMN0154518188,0,213.16,527.51,0,0
STMN0161067314,0,207.03,218.81,0,0
STMN0161404722,44.46,142.15,183.72,0,0
STMN0161404771,0,108.38,108.38,0,0
STMN0161404775,899.19,2043.22,7071.53,987740.79,93650.48
STMN0161404795,0,51.89,80.29,0,0
STMN0161404801,95.96,202.99,429.95,0,0
STMN0161404805,499.58,1486.15,2757.43,0,0
STMN0161404810,0,0,213.68,0,0
STMN0161404841,0,266.83,266.83,0,0
STMN0161404845,0,298.29,327.6,0,0
STMN0161404993,0,85.37,85.37,0,0
STMN0161404994,624.53,1891.01,16944.58,360427.9,37587.12
STMN0161404997,0,219.51,219.51,0,0
STMN0161405107,178.54,890.78,1454.46,0,0
STMN0161509515,370.07,1152.35,1698.18,0,0
STMN0161511381,717.62,935.15,3662.98,0,0
STMN0161513810,0,156.42,227.42,0,0
STMN0161513813,0,267.24,362.77,0,0
STMN0161513858,0,52.19,122.21,0,0
STMN0161514363,0,2532.21,2751.12,0,0
STMN0163062445,794.35,446.5,2302.32,0,0
STMN0163064561,132,325.31,485.39,47.19,0
STMN0163067008,22.56,935.46,935.46,1238.98,244.36
STMN0163068710,0,3.1,66.03,0,0
STMN0163079718,0,196.78,243.3,0,0
STMN0163091508,0,37.66,37.66,0,0
STMN0163407235,658.97,1192.65,3922.37,0,0
STMN0163407245,345.22,22.94,410.08,0,0
STMN0163407458,1050.9,2769.08,4797.37,220.94,0
STMN0163407466,438.61,3641.39,11076.77,2243.79,0
STMN0163407488,958.36,499.58,1342.03,1382.18,0
STMN0163407569,72.88,1355.65,1879.17,14379.69,3090.36
STMN0163407652,2423.56,9188.77,18915.89,0,0
STMN0163407678,0,52.21,192.32,0,0
STMN0163407682,81.31,330.55,1326.8,0,0
STMN0163407723,332.2,3587.73,5813.98,376862.6,24631.81
STMN0163407726,122.44,51.83,162.35,7625.3,1501.54
STMN0163407736,1269.43,90.04,3541.49,0,0
STMN0163407752,0,0,140.68,0,0
STMN0163407757,0,27.12,275.91,0,0
STMN0163407790,1541.96,8887.71,19653.62,0,0
STMN0163407921,87.74,1015.17,1223.96,937.39,355.21
STMN0163514064,0,33.13,135.57,0,0
STMN0163514066,0,23,84.14,0,0
STMN0163514071,190.08,1539.42,4476.62,0,0
STMN0163514398,300.63,375.16,810.99,0,0
STMN0163514465,0,2092.24,9084.61,0,0
STMN0163515669,1139.77,616.31,2507.82,0,0
STMN0163515673,0,8.97,158,0,0
STMN0163515678,0,49.17,237.41,0,0
STMN0163515717,0,283.07,400.84,0,0
STMN0163515765,0,30.66,884.85,0,0
STMN0164075712,0,267.28,267.28,0,0
STMN0164076927,0,69.3,69.3,0,0
STMN0164406691,0,51.05,51.05,0,0
